                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 13 19:25:06 21CN01 12TA05 12LE22 11GE32 05LI06 06GE44 23LI01 08AR32 02PI47 07CP56 02SG42 
Sa 14 19:29:03 21CN58 23TA52 12LE30 12GE03 05LI39 06GE56 23LI03 08AR32 02PI46 07CP54 02SG39 
Su 15 19:32:59 22CN55 05GE42 12LE33 12GE34 06LI13 07GE08 23LI05 08AR32 02PI45 07CP53 02SG36 
Mo 16 19:36:56 23CN52 17GE38 12LE31 13GE07 06LI46 07GE20 23LI07 08AR32 02PI44 07CP51 02SG33 
Tu 17 19:40:52 24CN50 29GE44 12LE24 13GE41 07LI20 07GE32 23LI09 08AR32 02PI42 07CP50 02SG30 
We 18 19:44:49 25CN47 12CN02 12LE12 14GE17 07LI54 07GE43 23LI11 08AR32 02PI41 07CP48 02SG26 
Th 19 19:48:46 26CN44 24CN35 11LE56 14GE54 08LI28 07GE55 23LI13 08AR32 02PI40 07CP47 02SG23 
Fr 20 19:52:42 27CN41 07LE22 11LE35 15GE31 09LI02 08GE06 23LI16 08AR31 02PI39 07CP45 02SG20 
Sa 21 19:56:39 28CN39 20LE24 11LE10 16GE10 09LI36 08GE17 23LI18 08AR31 02PI37 07CP44 02SG17 
Su 22 20:00:35 29CN36 03VI39 10LE40 16GE50 10LI10 08GE29 23LI21 08AR31 02PI36 07CP43 02SG14 
Mo 23 20:04:32 00LE33 17VI07 10LE07 17GE32 10LI45 08GE40 23LI23 08AR30 02PI35 07CP41 02SG11 
Tu 24 20:08:28 01LE31 00LI46 09LE31 18GE14 11LI19 08GE51 23LI26 08AR30 02PI33 07CP40 02SG07 
We 25 20:12:25 02LE28 14LI35 08LE52 18GE57 11LI54 09GE02 23LI29 08AR29 02PI32 07CP39 02SG04 
Th 26 20:16:21 03LE25 28LI32 08LE11 19GE41 12LI29 09GE13 23LI32 08AR29 02PI31 07CP37 02SG01 
Fr 27 20:20:18 04LE23 12SC38 07LE28 20GE25 13LI04 09GE24 23LI35 08AR28 02PI29 07CP36 01SG58 
Sa 28 20:24:15 05LE20 26SC50 06LE44 21GE11 13LI39 09GE34 23LI38 08AR27 02PI28 07CP35 01SG55 
Su 29 20:28:11 06LE17 11SG09 06LE00 21GE58 14LI14 09GE45 23LI41 08AR27 02PI27 07CP33 01SG51 
Mo 30 20:32:08 07LE15 25SG30 05LE17 22GE45 14LI50 09GE55 23LI44 08AR26 02PI25 07CP32 01SG48 
Tu 31 20:36:04 08LE12 09CP52 04LE36 23GE33 15LI25 10GE06 23LI48 08AR25 02PI24 07CP31 01SG45
 
                                         AUGUST 2012 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 20:40:01 09LE09 24CP08 03LE57 24GE22 16LI01 10GE16 23LI51 08AR24 02PI22 07CP30 01SG42 
Th 02 20:43:57 10LE07 08AQ14 03LE21 25GE12 16LI37 10GE26 23LI55 08AR23 02PI21 07CP28 01SG39 
Fr 03 20:47:54 11LE04 22AQ04 02LE49 26GE02 17LI13 10GE36 23LI58 08AR22 02PI19 07CP27 01SG36 
Sa 04 20:51:50 12LE02 05PI36 02LE21 26GE53 17LI49 10GE46 24LI02 08AR21 02PI18 07CP26 01SG32 
Su 05 20:55:47 12LE59 18PI47 01LE59 27GE44 18LI25 10GE56 24LI06 08AR20 02PI16 07CP25 01SG29 
Mo 06 20:59:44 13LE56 01AR35 01LE42 28GE37 19LI01 11GE06 24LI09 08AR19 02PI15 07CP24 01SG26 
Tu 07 21:03:40 14LE54 14AR04 01LE31 29GE29 19LI37 11GE16 24LI13 08AR18 02PI13 07CP23 01SG23 
We 08 21:07:37 15LE51 26AR15 01LE26 00CN23 20LI14 11GE25 24LI17 08AR17 02PI12 07CP21 01SG20 
Th 09 21:11:33 16LE49 08TA13 01LE28 01CN17 20LI51 11GE35 24LI21 08AR16 02PI10 07CP20 01SG17 
Fr 10 21:15:30 17LE46 20TA04 01LE36 02CN11 21LI27 11GE44 24LI25 08AR14 02PI08 07CP19 01SG13 
Sa 11 21:19:26 18LE44 01GE52 01LE52 03CN07 22LI04 11GE53 24LI30 08AR13 02PI07 07CP18 01SG10 
Su 12 21:23:23 19LE42 13GE44 02LE14 04CN02 22LI41 12GE02 24LI34 08AR12 02PI05 07CP17 01SG07 
Mo 13 21:27:19 20LE39 25GE43 02LE43 04CN58 23LI18 12GE11 24LI38 08AR10 02PI04 07CP16 01SG04 
Tu 14 21:31:16 21LE37 07CN55 03LE20 05CN55 23LI55 12GE20 24LI43 08AR09 02PI02 07CP15 01SG01 
We 15 21:35:13 22LE35 20CN24 04LE03 06CN52 24LI33 12GE29 24LI47 08AR08 02PI00 07CP14 00SG57 
Th 16 21:39:09 23LE32 03LE10 04LE54 07CN49 25LI10 12GE37 24LI52 08AR06 01PI59 07CP13 00SG54 
Fr 17 21:43:06 24LE30 16LE16 05LE50 08CN47 25LI48 12GE46 24LI57 08AR05 01PI57 07CP12 00SG51 
Sa 18 21:47:02 25LE28 29LE41 06LE54 09CN46 26LI25 12GE54 25LI01 08AR03 01PI56 07CP11 00SG48 
Su 19 21:50:59 26LE25 13VI21 08LE03 10CN44 27LI03 13GE02 25LI06 08AR01 01PI54 07CP11 00SG45 
Mo 20 21:54:55 27LE23 27VI13 09LE19 11CN44 27LI41 13GE10 25LI11 07AR60 01PI52 07CP10 00SG42 
Tu 21 21:58:52 28LE21 11LI14 10LE40 12CN43 28LI19 13GE18 25LI16 07AR58 01PI51 07CP09 00SG38 
We 22 22:02:48 29LE19 25LI20 12LE06 13CN43 28LI57 13GE26 25LI21 07AR56 01PI49 07CP08 00SG35 
Th 23 22:06:45 00VI17 09SC29 13LE37 14CN43 29LI35 13GE33 25LI26 07AR55 01PI47 07CP07 00SG32 
Fr 24 22:10:42 01VI14 23SC37 15LE13 15CN44 00SC14 13GE41 25LI31 07AR53 01PI46 07CP07 00SG29 
Sa 25 22:14:38 02VI12 07SG44 16LE53 16CN45 00SC52 13GE48 25LI36 07AR51 01PI44 07CP06 00SG26 
Su 26 22:18:35 03VI10 21SG49 18LE36 17CN46 01SC31 13GE55 25LI42 07AR49 01PI42 07CP05 00SG22 
Mo 27 22:22:31 04VI08 05CP51 20LE23 18CN48 02SC09 14GE02 25LI47 07AR47 01PI41 07CP05 00SG19 
Tu 28 22:26:28 05VI06 19CP48 22LE12 19CN50 02SC48 14GE09 25LI53 07AR46 01PI39 07CP04 00SG16 
We 29 22:30:24 06VI04 03AQ39 24LE04 20CN52 03SC27 14GE16 25LI58 07AR44 01PI38 07CP03 00SG13 
Th 30 22:34:21 07VI02 17AQ20 25LE57 21CN54 04SC06 14GE23 26LI04 07AR42 01PI36 07CP03 00SG10 
Fr 31 22:38:17 07VI60 00PI49 27LE52 22CN57 04SC45 14GE29 26LI09 07AR40 01PI34 07CP02 00SG07 
                                        SEPTEMBER 2012 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 22:42:14 08VI58 14PI03 29LE48 24CN00 05SC24 14GE35 26LI15 07AR38 01PI33 07CP02 00SG03 
Su 02 22:46:11 09VI56 26PI60 01VI44 25CN04 06SC03 14GE41 26LI20 07AR36 01PI31 07CP01 00SG00 
Mo 03 22:50:07 10VI54 09AR39 03VI41 26CN07 06SC42 14GE47 26LI26 07AR34 01PI29 07CP01 29SC57 
Tu 04 22:54:04 11VI52 22AR02 05VI38 27CN11 07SC22 14GE53 26LI32 07AR32 01PI28 07CP00 29SC54 
We 05 22:58:00 12VI50 04TA10 07VI35 28CN16 08SC01 14GE59 26LI38 07AR29 01PI26 06CP60 29SC51 
Th 06 23:01:57 13VI48 16TA07 09VI32 29CN20 08SC41 15GE04 26LI44 07AR27 01PI25 06CP59 29SC48 
Fr 07 23:05:53 14VI47 27TA57 11VI28 00LE25 09SC21 15GE09 26LI50 07AR25 01PI23 06CP59 29SC44 
Sa 08 23:09:50 15VI45 09GE45 13VI23 01LE30 10SC00 15GE14 26LI56 07AR23 01PI21 06CP59 29SC41 
Su 09 23:13:46 16VI43 21GE36 15VI18 02LE35 10SC40 15GE19 27LI02 07AR21 01PI20 06CP58 29SC38 
Mo 10 23:17:43 17VI41 03CN36 17VI12 03LE40 11SC20 15GE24 27LI08 07AR19 01PI18 06CP58 29SC35 
Tu 11 23:21:40 18VI40 15CN51 19VI05 04LE46 12SC00 15GE29 27LI14 07AR16 01PI17 06CP58 29SC32 
We 12 23:25:36 19VI38 28CN24 20VI57 05LE52 12SC40 15GE33 27LI20 07AR14 01PI15 06CP58 29SC28 
Th 13 23:29:33 20VI37 11LE18 22VI49 06LE58 13SC21 15GE37 27LI27 07AR12 01PI14 06CP58 29SC25 
Fr 14 23:33:29 21VI35 24LE37 24VI39 08LE05 14SC01 15GE41 27LI33 07AR09 01PI12 06CP57 29SC22 
Sa 15 23:37:26 22VI34 08VI18 26VI28 09LE11 14SC42 15GE45 27LI39 07AR07 01PI11 06CP57 29SC19 
Su 16 23:41:22 23VI32 22VI20 28VI16 10LE18 15SC22 15GE49 27LI46 07AR05 01PI09 06CP57 29SC16 
Mo 17 23:45:19 24VI31 06LI37 00LI03 11LE25 16SC03 15GE53 27LI52 07AR02 01PI08 06CP57 29SC13 
Tu 18 23:49:15 25VI29 21LI04 01LI49 12LE32 16SC44 15GE56 27LI59 07AR00 01PI06 06CP57 29SC09 
We 19 23:53:12 26VI28 05SC34 03LI33 13LE39 17SC24 15GE59 28LI05 06AR58 01PI05 06CP57 29SC06 
Th 20 23:57:09 27VI26 20SC03 05LI17 14LE47 18SC05 16GE02 28LI12 06AR55 01PI03 06CP57 29SC03 
Fr 21 00:01:05 28VI25 04SG26 07LI00 15LE54 18SC46 16GE05 28LI18 06AR53 01PI02 06CP57 28SC60 
Sa 22 00:05:02 29VI24 18SG39 08LI42 17LE02 19SC27 16GE07 28LI25 06AR51 01PI00 06CP57 28SC57 
Su 23 00:08:58 00LI22 02CP42 10LI23 18LE10 20SC09 16GE10 28LI32 06AR48 00PI59 06CP58 28SC54 
Mo 24 00:12:55 01LI21 16CP34 12LI02 19LE19 20SC50 16GE12 28LI38 06AR46 00PI58 06CP58 28SC50 
Tu 25 00:16:51 02LI20 00AQ15 13LI41 20LE27 21SC31 16GE14 28LI45 06AR43 00PI56 06CP58 28SC47 
We 26 00:20:48 03LI19 13AQ44 15LI19 21LE35 22SC13 16GE16 28LI52 06AR41 00PI55 06CP58 28SC44 
Th 27 00:24:44 04LI18 27AQ02 16LI56 22LE44 22SC54 16GE17 28LI59 06AR39 00PI54 06CP58 28SC41 
Fr 28 00:28:41 05LI16 10PI07 18LI32 23LE53 23SC36 16GE19 29LI05 06AR36 00PI52 06CP59 28SC38 
Sa 29 00:32:38 06LI15 22PI59 20LI07 25LE02 24SC17 16GE20 29LI12 06AR34 00PI51 06CP59 28SC34 
Su 30 00:36:34 07LI14 05AR38 21LI42 26LE11 24SC59 16GE21 29LI19 06AR31 00PI50 06CP59 28SC31 
                                         OCTOBER 2012 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Mo 01 00:40:31 08LI13 18AR04 23LI15 27LE21 25SC41 16GE22 29LI26 06AR29 00PI49 06CP60 28SC28 
Tu 02 00:44:27 09LI12 00TA17 24LI48 28LE30 26SC23 16GE22 29LI33 06AR27 00PI47 07CP00 28SC25 
We 03 00:48:24 10LI11 12TA18 26LI20 29LE40 27SC05 16GE23 29LI40 06AR24 00PI46 07CP01 28SC22 
Th 04 00:52:20 11LI10 24TA12 27LI50 00VI49 27SC47 16GE23 29LI47 06AR22 00PI45 07CP01 28SC19 
Fr 05 00:56:17 12LI09 05GE60 29LI20 01VI59 28SC29 16GE23 29LI54 06AR19 00PI44 07CP02 28SC15 
Sa 06 01:00:13 13LI08 17GE47 00SC50 03VI09 29SC12 16GE23 00SC01 06AR17 00PI43 07CP02 28SC12 
Su 07 01:04:10 14LI08 29GE37 02SC18 04VI20 29SC54 16GE22 00SC08 06AR15 00PI42 07CP03 28SC09 
Mo 08 01:08:07 15LI07 11CN36 03SC46 05VI30 00SG36 16GE22 00SC15 06AR12 00PI41 07CP03 28SC06 
Tu 09 01:12:03 16LI06 23CN49 05SC12 06VI40 01SG19 16GE21 00SC22 06AR10 00PI40 07CP04 28SC03 
We 10 01:15:60 17LI05 06LE20 06SC38 07VI51 02SG02 16GE20 00SC29 06AR07 00PI39 07CP05 27SC59 
Th 11 01:19:56 18LI05 19LE15 08SC03 09VI02 02SG44 16GE19 00SC37 06AR05 00PI38 07CP05 27SC56 
Fr 12 01:23:53 19LI04 02VI35 09SC27 10VI13 03SG27 16GE17 00SC44 06AR03 00PI37 07CP06 27SC53 
Sa 13 01:27:49 20LI03 16VI22 10SC50 11VI24 04SG10 16GE16 00SC51 06AR00 00PI36 07CP07 27SC50 
Su 14 01:31:46 21LI03 00LI34 12SC12 12VI35 04SG53 16GE14 00SC58 05AR58 00PI35 07CP07 27SC47 
Mo 15 01:35:42 22LI02 15LI07 13SC33 13VI46 05SG36 16GE12 01SC05 05AR56 00PI34 07CP08 27SC44 
Tu 16 01:39:39 23LI02 29LI55 14SC53 14VI57 06SG19 16GE10 01SC12 05AR53 00PI33 07CP09 27SC40 
We 17 01:43:36 24LI01 14SC50 16SC12 16VI08 07SG02 16GE07 01SC20 05AR51 00PI32 07CP10 27SC37 
Th 18 01:47:32 25LI01 29SC43 17SC29 17VI20 07SG45 16GE05 01SC27 05AR49 00PI32 07CP11 27SC34 
Fr 19 01:51:29 26LI01 14SG28 18SC46 18VI32 08SG29 16GE02 01SC34 05AR47 00PI31 07CP12 27SC31 
Sa 20 01:55:25 27LI00 28SG59 20SC01 19VI43 09SG12 15GE59 01SC41 05AR44 00PI30 07CP13 27SC28 
Su 21 01:59:22 27LI60 13CP12 21SC14 20VI55 09SG56 15GE56 01SC49 05AR42 00PI29 07CP14 27SC25 
Mo 22 02:03:18 28LI60 27CP07 22SC26 22VI07 10SG39 15GE52 01SC56 05AR40 00PI29 07CP15 27SC21 
Tu 23 02:07:15 29LI59 10AQ42 23SC36 23VI19 11SG23 15GE49 02SC03 05AR38 00PI28 07CP16 27SC18 
We 24 02:11:11 00SC59 23AQ60 24SC44 24VI31 12SG06 15GE45 02SC10 05AR36 00PI27 07CP17 27SC15 
Th 25 02:15:08 01SC59 07PI00 25SC49 25VI43 12SG50 15GE41 02SC18 05AR34 00PI27 07CP18 27SC12 
Fr 26 02:19:05 02SC59 19PI46 26SC53 26VI56 13SG34 15GE37 02SC25 05AR32 00PI26 07CP19 27SC09 
Sa 27 02:23:01 03SC59 02AR19 27SC54 28VI08 14SG18 15GE33 02SC32 05AR30 00PI26 07CP20 27SC05 
Su 28 02:26:58 04SC58 14AR40 28SC52 29VI20 15SG02 15GE28 02SC39 05AR28 00PI25 07CP21 27SC02 
Mo 29 02:30:54 05SC58 26AR51 29SC46 00LI33 15SG46 15GE23 02SC47 05AR26 00PI25 07CP23 26SC59 
Tu 30 02:34:51 06SC58 08TA52 00SG37 01LI46 16SG30 15GE18 02SC54 05AR24 00PI24 07CP24 26SC56 
We 31 02:38:47 07SC58 20TA47 01SG24 02LI58 17SG14 15GE13 03SC01 05AR22 00PI24 07CP25 26SC53 
                                        NOVEMBER 2012 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Th 01 02:42:44 08SC58 02GE37 02SG07 04LI11 17SG58 15GE08 03SC08 05AR20 00PI24 07CP26 26SC50 
Fr 02 02:46:40 09SC58 14GE24 02SG45 05LI24 18SG43 15GE03 03SC16 05AR18 00PI23 07CP28 26SC46 
Sa 03 02:50:37 10SC58 26GE11 03SG17 06LI37 19SG27 14GE57 03SC23 05AR16 00PI23 07CP29 26SC43 
Su 04 02:54:34 11SC58 08CN03 03SG43 07LI50 20SG11 14GE52 03SC30 05AR14 00PI23 07CP30 26SC40 
Mo 05 02:58:30 12SC58 20CN02 04SG02 09LI03 20SG56 14GE46 03SC37 05AR13 00PI22 07CP32 26SC37 
Tu 06 03:02:27 13SC59 02LE13 04SG14 10LI16 21SG40 14GE40 03SC45 05AR11 00PI22 07CP33 26SC34 
We 07 03:06:23 14SC59 14LE41 04SG18 11LI30 22SG25 14GE34 03SC52 05AR09 00PI22 07CP35 26SC31 
Th 08 03:10:20 15SC59 27LE30 04SG13 12LI43 23SG10 14GE28 03SC59 05AR08 00PI22 07CP36 26SC27 
Fr 09 03:14:16 16SC59 10VI43 03SG59 13LI56 23SG55 14GE21 04SC06 05AR06 00PI22 07CP38 26SC24 
Sa 10 03:18:13 17SC60 24VI24 03SG35 15LI10 24SG39 14GE15 04SC13 05AR04 00PI22 07CP39 26SC21 
Su 11 03:22:09 18SC60 08LI32 03SG02 16LI23 25SG24 14GE08 04SC20 05AR03 00PI22 07CP41 26SC18 
Mo 12 03:26:06 20SC00 23LI05 02SG18 17LI37 26SG09 14GE01 04SC27 05AR01 00PI22 07CP42 26SC15 
Tu 13 03:30:03 21SC01 07SC59 01SG24 18LI51 26SG54 13GE54 04SC34 04AR60 00PI22 07CP44 26SC11 
We 14 03:33:59 22SC01 23SC07 00SG22 20LI04 27SG39 13GE47 04SC42 04AR58 00PI22 07CP45 26SC08 
Th 15 03:37:56 23SC02 08SG18 29SC12 21LI18 28SG25 13GE40 04SC49 04AR57 00PI22 07CP47 26SC05 
Fr 16 03:41:52 24SC02 23SG24 27SC56 22LI32 29SG10 13GE33 04SC56 04AR56 00PI22 07CP49 26SC02 
Sa 17 03:45:49 25SC03 08CP15 26SC36 23LI46 29SG55 13GE25 05SC03 04AR54 00PI22 07CP50 25SC59 
Su 18 03:49:45 26SC03 22CP47 25SC15 24LI60 00CP40 13GE18 05SC10 04AR53 00PI23 07CP52 25SC56 
Mo 19 03:53:42 27SC04 06AQ54 23SC55 26LI14 01CP26 13GE10 05SC16 04AR52 00PI23 07CP54 25SC52 
Tu 20 03:57:38 28SC04 20AQ35 22SC39 27LI28 02CP11 13GE03 05SC23 04AR51 00PI23 07CP55 25SC49 
We 21 04:01:35 29SC05 03PI52 21SC30 28LI42 02CP57 12GE55 05SC30 04AR50 00PI23 07CP57 25SC46 
Th 22 04:05:32 00SG05 16PI47 20SC30 29LI56 03CP42 12GE47 05SC37 04AR48 00PI24 07CP59 25SC43 
Fr 23 04:09:28 01SG06 29PI22 19SC39 01SC10 04CP28 12GE39 05SC44 04AR47 00PI24 08CP01 25SC40 
Sa 24 04:13:25 02SG07 11AR42 18SC59 02SC24 05CP13 12GE31 05SC51 04AR46 00PI25 08CP02 25SC36 
Su 25 04:17:21 03SG07 23AR50 18SC31 03SC38 05CP59 12GE23 05SC57 04AR45 00PI25 08CP04 25SC33 
Mo 26 04:21:18 04SG08 05TA49 18SC15 04SC53 06CP45 12GE15 06SC04 04AR45 00PI26 08CP06 25SC30 
Tu 27 04:25:14 05SG09 17TA42 18SC10 06SC07 07CP31 12GE07 06SC11 04AR44 00PI26 08CP08 25SC27 
We 28 04:29:11 06SG09 29TA31 18SC16 07SC21 08CP17 11GE59 06SC17 04AR43 00PI27 08CP10 25SC24 
Th 29 04:33:07 07SG10 11GE19 18SC32 08SC36 09CP03 11GE51 06SC24 04AR42 00PI27 08CP12 25SC21 
Fr 30 04:37:04 08SG11 23GE07 18SC57 09SC50 09CP48 11GE43 06SC31 04AR41 00PI28 08CP14 25SC17 
                                        DECEMBER 2012 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 04:41:01 09SG12 04CN59 19SC30 11SC05 10CP34 11GE35 06SC37 04AR41 00PI28 08CP15 25SC14 
Su 02 04:44:57 10SG13 16CN56 20SC11 12SC19 11CP21 11GE27 06SC44 04AR40 00PI29 08CP17 25SC11 
Mo 03 04:48:54 11SG13 29CN00 20SC58 13SC34 12CP07 11GE18 06SC50 04AR40 00PI30 08CP19 25SC08 
Tu 04 04:52:50 12SG14 11LE15 21SC52 14SC48 12CP53 11GE10 06SC56 04AR39 00PI31 08CP21 25SC05 
We 05 04:56:47 13SG15 23LE44 22SC50 16SC03 13CP39 11GE02 07SC03 04AR39 00PI31 08CP23 25SC02 
Th 06 05:00:43 14SG16 06VI29 23SC52 17SC18 14CP25 10GE54 07SC09 04AR38 00PI32 08CP25 24SC58 
Fr 07 05:04:40 15SG17 19VI35 24SC59 18SC32 15CP11 10GE46 07SC15 04AR38 00PI33 08CP27 24SC55 
Sa 08 05:08:36 16SG18 03LI04 26SC09 19SC47 15CP58 10GE38 07SC22 04AR38 00PI34 08CP29 24SC52 
Su 09 05:12:33 17SG19 16LI58 27SC22 21SC02 16CP44 10GE30 07SC28 04AR37 00PI35 08CP31 24SC49 
Mo 10 05:16:30 18SG20 01SC18 28SC37 22SC16 17CP31 10GE22 07SC34 04AR37 00PI36 08CP33 24SC46 
Tu 11 05:20:26 19SG21 16SC00 29SC54 23SC31 18CP17 10GE14 07SC40 04AR37 00PI37 08CP35 24SC42 
We 12 05:24:23 20SG22 01SG01 01SG14 24SC46 19CP04 10GE06 07SC46 04AR37 00PI38 08CP37 24SC39 
Th 13 05:28:19 21SG23 16SG13 02SG35 26SC01 19CP50 09GE58 07SC52 04AR37 00PI39 08CP39 24SC36 
Fr 14 05:32:16 22SG24 01CP26 03SG57 27SC16 20CP37 09GE50 07SC58 04AR37 00PI40 08CP41 24SC33 
Sa 15 05:36:12 23SG25 16CP30 05SG21 28SC31 21CP23 09GE42 08SC03 04AR37 00PI41 08CP43 24SC30 
Su 16 05:40:09 24SG26 01AQ17 06SG45 29SC45 22CP10 09GE34 08SC09 04AR37 00PI42 08CP45 24SC27 
Mo 17 05:44:05 25SG27 15AQ38 08SG11 01SG00 22CP57 09GE27 08SC15 04AR37 00PI43 08CP48 24SC23 
Tu 18 05:48:02 26SG28 29AQ32 09SG37 02SG15 23CP43 09GE19 08SC21 04AR37 00PI45 08CP50 24SC20 
We 19 05:51:59 27SG29 12PI57 11SG05 03SG30 24CP30 09GE12 08SC26 04AR38 00PI46 08CP52 24SC17 
Th 20 05:55:55 28SG30 25PI54 12SG32 04SG45 25CP17 09GE05 08SC32 04AR38 00PI47 08CP54 24SC14 
Fr 21 05:59:52 29SG31 08AR29 14SG01 06SG00 26CP04 08GE57 08SC37 04AR38 00PI48 08CP56 24SC11 
Sa 22 06:03:48 00CP33 20AR45 15SG29 07SG15 26CP51 08GE50 08SC43 04AR39 00PI50 08CP58 24SC08 
Su 23 06:07:45 01CP34 02TA46 16SG59 08SG30 27CP38 08GE43 08SC48 04AR39 00PI51 09CP00 24SC04 
Mo 24 06:11:41 02CP35 14TA39 18SG28 09SG45 28CP24 08GE36 08SC53 04AR40 00PI53 09CP02 24SC01 
Tu 25 06:15:38 03CP36 26TA27 19SG58 11SG00 29CP11 08GE30 08SC58 04AR40 00PI54 09CP04 23SC58 
We 26 06:19:34 04CP37 08GE14 21SG29 12SG15 29CP58 08GE23 09SC03 04AR41 00PI55 09CP06 23SC55 
Th 27 06:23:31 05CP38 20GE02 22SG59 13SG30 00AQ45 08GE17 09SC09 04AR41 00PI57 09CP09 23SC52 
Fr 28 06:27:28 06CP39 01CN56 24SG31 14SG45 01AQ32 08GE10 09SC14 04AR42 00PI58 09CP11 23SC48 
Sa 29 06:31:24 07CP40 13CN55 26SG02 16SG00 02AQ19 08GE04 09SC18 04AR43 00PI60 09CP13 23SC45 
Su 30 06:35:21 08CP41 26CN03 27SG34 17SG15 03AQ07 07GE58 09SC23 04AR44 01PI01 09CP15 23SC42 
Mo 31 06:39:17 09CP43 08LE19 29SG06 18SG31 03AQ54 07GE52 09SC28 04AR45 01PI03 09CP17 23SC39


JANUARY 2013

DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 01 06:43:14 10CP44 20LE45 00CP38 19SG46 04AQ41 07GE46 09SC33 04AR46 01PI05 09CP19 23SC36 
We 02 06:47:10 11CP45 03VI23 02CP11 21SG01 05AQ28 07GE41 09SC37 04AR47 01PI06 09CP21 23SC33 
Th 03 06:51:07 12CP46 16VI14 03CP44 22SG16 06AQ15 07GE35 09SC42 04AR48 01PI08 09CP24 23SC29 
Fr 04 06:55:03 13CP47 29VI20 05CP18 23SG31 07AQ02 07GE30 09SC46 04AR49 01PI09 09CP26 23SC26 
Sa 05 06:59:00 14CP48 12LI43 06CP51 24SG46 07AQ49 07GE25 09SC51 04AR50 01PI11 09CP28 23SC23 
Su 06 07:02:57 15CP49 26LI26 08CP25 26SG01 08AQ37 07GE20 09SC55 04AR51 01PI13 09CP30 23SC20 
Mo 07 07:06:53 16CP51 10SC28 10CP00 27SG16 09AQ24 07GE15 09SC59 04AR52 01PI15 09CP32 23SC17 
Tu 08 07:10:50 17CP52 24SC50 11CP35 28SG32 10AQ11 07GE11 10SC03 04AR53 01PI16 09CP34 23SC14 
We 09 07:14:46 18CP53 09SG31 13CP10 29SG47 10AQ59 07GE06 10SC07 04AR55 01PI18 09CP36 23SC10 
Th 10 07:18:43 19CP54 24SG25 14CP46 01CP02 11AQ46 07GE02 10SC11 04AR56 01PI20 09CP38 23SC07 
Fr 11 07:22:39 20CP55 09CP26 16CP22 02CP17 12AQ33 06GE58 10SC15 04AR58 01PI22 09CP40 23SC04 
Sa 12 07:26:36 21CP56 24CP24 17CP59 03CP32 13AQ21 06GE54 10SC19 04AR59 01PI24 09CP43 23SC01 
Su 13 07:30:32 22CP58 09AQ11 19CP36 04CP48 14AQ08 06GE51 10SC23 05AR00 01PI25 09CP45 22SC58 
Mo 14 07:34:29 23CP59 23AQ37 21CP13 06CP03 14AQ55 06GE47 10SC26 05AR02 01PI27 09CP47 22SC54 
Tu 15 07:38:26 24CP60 07PI38 22CP52 07CP18 15AQ43 06GE44 10SC30 05AR04 01PI29 09CP49 22SC51 
We 16 07:42:22 26CP01 21PI10 24CP30 08CP33 16AQ30 06GE41 10SC33 05AR05 01PI31 09CP51 22SC48 
Th 17 07:46:19 27CP02 04AR14 26CP09 09CP48 17AQ17 06GE38 10SC37 05AR07 01PI33 09CP53 22SC45 
Fr 18 07:50:15 28CP03 16AR53 27CP49 11CP04 18AQ05 06GE36 10SC40 05AR09 01PI35 09CP55 22SC42 
Sa 19 07:54:12 29CP04 29AR11 29CP29 12CP19 18AQ52 06GE33 10SC43 05AR11 01PI37 09CP57 22SC39 
Su 20 07:58:08 00AQ05 11TA13 01AQ09 13CP34 19AQ40 06GE31 10SC46 05AR12 01PI39 09CP59 22SC35 
Mo 21 08:02:05 01AQ06 23TA05 02AQ51 14CP49 20AQ27 06GE29 10SC49 05AR14 01PI41 10CP01 22SC32 
Tu 22 08:06:01 02AQ07 04GE52 04AQ32 16CP04 21AQ15 06GE27 10SC52 05AR16 01PI43 10CP03 22SC29 
We 23 08:09:58 03AQ08 16GE39 06AQ15 17CP20 22AQ02 06GE25 10SC55 05AR18 01PI45 10CP05 22SC26 
Th 24 08:13:55 04AQ10 28GE30 07AQ58 18CP35 22AQ49 06GE24 10SC57 05AR20 01PI47 10CP07 22SC23 
Fr 25 08:17:51 05AQ11 10CN29 09AQ41 19CP50 23AQ37 06GE23 10SC60 05AR22 01PI49 10CP09 22SC20 
Sa 26 08:21:48 06AQ11 22CN38 11AQ25 21CP05 24AQ24 06GE22 11SC02 05AR24 01PI51 10CP11 22SC16 
